district_id,district_name,total_personas,turnout_count,turnout_rate,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,margin
34_5,広島県5区,100,78,0.78,佐藤公治,chudo,35,山本深,ldp,27,8
34_6,広島県6区,100,62,0.62,小林史明,ldp,41,はたともこ,chudo,14,27
34_7,広島県7区,100,69,0.69,,,0,,,0,0
35_1,山口県1区,100,74,0.74,高村正大,ldp,61,野田陽志,dpfp,7,54
35_2,山口県2区,100,66,0.66,岸信千世,ldp,40,平岡秀夫,chudo,26,14
35_3,山口県3区,100,73,0.73,林芳正,ldp,47,篠田知宏,chudo,11,36
35_4,山口県4区,100,61,0.61,,,0,,,0,0
36_1,徳島県1区,100,74,0.74,仁木博文,ldp,51,高橋永,chudo,12,39
36_2,徳島県2区,100,66,0.66,山口俊一,ldp,49,北島一人,independent,7,42
37_1,香川県1区,100,64,0.64,平井卓也,ldp,42,小川淳也,chudo,14,28
37_2,香川県2区,100,72,0.72,瀬戸隆一,ldp,42,玉木雄一郎,dpfp,23,19
37_3,香川県3区,100,73,0.73,大野敬太郎,ldp,53,細川修平,ishin,12,41
38_1,愛媛県1区,100,68,0.68,塩崎彰久,ldp,31,石井智恵,dpfp,28,3
38_2,愛媛県2区,100,56,0.56,白石洋一,chudo,30,井原巧,ldp,19,11
38_3,愛媛県3区,100,66,0.66,長谷川淳二,ldp,55,萩原旭人,chudo,7,48
38_4,愛媛県4区,100,74,0.74,,,0,,,0,0
39_1,高知県1区,100,61,0.61,中谷元,ldp,41,田所裕介,chudo,12,29
39_2,高知県2区,100,67,0.67,尾崎正直,ldp,51,浜川百合子,jcp,10,41
40_1,福岡県1区,100,54,0.54,井上貴博,ldp,25,丸尾圭祐,chudo,13,12
40_2,福岡県2区,100,54,0.54,稲富修二,chudo,22,鬼木誠,ldp,20,2
40_3,福岡県3区,100,61,0.61,古賀篤,ldp,30,仁戸田元気,chudo,13,17
40_4,福岡県4区,100,60,0.6,宮内秀樹,ldp,34,許斐亮太郎,dpfp,18,16
40_5,福岡県5区,100,72,0.72,栗原渉,ldp,31,那須敬子,shamin,17,14
40_6,福岡県6区,100,64,0.64,鳩山二郎,ldp,43,河野一弘,jcp,12,31
40_7,福岡県7区,100,65,0.65,藤丸敏,ldp,49,亀田晃尚,chudo,16,33
40_8,福岡県8区,100,57,0.57,麻生太郎,ldp,44,沖園理恵,reiwa,7,37
40_9,福岡県9区,100,60,0.6,緒方林太郎,independent,29,大塚弘尊,dpfp,12,17
40_10,福岡県10区,100,61,0.61,城井崇,chudo,29,吉村悠,ldp,15,14
40_11,福岡県11区,100,56,0.56,武田良太,ldp,24,村上智信,ishin,16,8
41_1,佐賀県1区,100,70,0.7,岩田和親,ldp,52,原口一博,genzei,18,34
41_2,佐賀県2区,100,68,0.68,古川康,ldp,48,大串博志,chudo,20,28
42_1,長崎県1区,100,64,0.64,浅田真澄美,ldp,23,西岡秀子,dpfp,21,2
42_2,長崎県2区,100,67,0.67,加藤竜祥,ldp,36,山田勝彦,chudo,26,10
42_3,長崎県3区,100,76,0.76,金子容三,ldp,65,田崎耕太,chudo,11,54
43_1,熊本県1区,100,68,0.68,木原稔,ldp,43,鎌田聡,chudo,15,28
43_2,熊本県2区,100,67,0.67,西野太亮,ldp,49,益田牧子,jcp,12,37
43_3,熊本県3区,100,76,0.76,坂本哲志,ldp,64,霍田和佳,sansei,7,57
43_4,熊本県4区,100,72,0.72,金子恭之,ldp,51,矢上雅義,ishin,9,42
43_5,熊本県5区,100,72,0.72,,,0,,,0,0
44_1,大分県1区,100,59,0.59,衛藤博昭,ldp,17,吉良州司,independent,15,2
44_2,大分県2区,100,70,0.7,広瀬建,ldp,40,吉川元,chudo,30,10
44_3,大分県3区,100,70,0.7,岩屋毅,ldp,49,小林華弥子,chudo,9,40
45_1,宮崎県1区,100,75,0.75,渡辺創,chudo,31,武井俊輔,ldp,29,2
45_2,宮崎県2区,100,71,0.71,江藤拓,ldp,50,長友慎治,dpfp,17,33
45_3,宮崎県3区,100,67,0.67,古川禎久,ldp,60,高瀬大介,sansei,7,53
46_1,鹿児島県1区,100,65,0.65,宮路拓馬,ldp,29,川内博史,chudo,25,4
46_2,鹿児島県2区,100,54,0.54,三反園訓,ldp,46,松崎真琴,jcp,5,41
46_3,鹿児島県3区,100,71,0.71,小里泰弘,ldp,41,野間健,chudo,30,11
46_4,鹿児島県4区,100,72,0.72,森山裕,ldp,54,伊藤周平,shamin,8,46
47_1,沖縄県1区,100,65,0.65,赤嶺政賢,jcp,24,国場幸之助,ldp,23,1
47_2,沖縄県2区,100,69,0.69,新垣邦男,chudo,27,宮崎政久,ldp,26,1
47_3,沖縄県3区,100,71,0.71,屋良朝博,chudo,37,島尻安伊子,ldp,30,7
